# dataset: GeoCSV 2.0
# delimiter: ,
# SID: IU_MIDW_00_BHE
# sample_count: 42000
# sample_rate_hz: 20
# start_time: 2011-03-11T05:48:11.048197Z
# field_unit: Counts
# field_type: INTEGER
Sample
76159
73512
71758
70567
69309
66236
62693
59782
58167
56475
52597
50425
49383
47066
43960
41541
40051
38484
36118
32706
31665
30000
29052
29956
26769
26540
27213
23448
22222
22720
22956
22845
22849
22702
23789
25276
23512
23693
23087
21649
22500
23455
25368
25206
25870
28038
31854
37481
37104
35812
39074
41673
43381
43309
42545
44717
43600
42175
43524
43408
43403
43924
45012
46206
47931
48436
49933
52152
52783
54719
57590
58683
55346
55004
56125
52145
51174
51876
50710
48306
45212
44954
45702
45149
42293
41283
42367
41744
42689
42328
41380
40129
38129
39856
38602
36449
36697
36369
36257
33907
34811
35511
34769
37553
35951
33506
33952
32755
29965
30254
31183
29501
30959
32095
32616
34324
33082
33550
34882
35940
37569
35849
36807
38680
37562
37375
37507
39265
40066
38931
39045
40140
39905
39925
41078
41910
44613
44709
43941
44787
45187
47382
49915
51831
50585
52380
55399
53369
51598
49339
49614
47821
45492
46153
45555
47366
47147
47245
49292
48492
50151
51665
50456
51036
50054
49582
50652
49666
48107
47158
47171
45343
43581
43168
44739
43906
40368
43592
44516
43779
44092
41615
41062
39349
39446
40033
41182
39554
34082
37376
37641
30702
30308
33832
33968
30657
29581
31796
32064
31147
30402
29816
30213
30717
34626
35645
31450
34873
39467
36944
37452
40923
43966
45944
44032
47593
51068
49551
48634
47241
48820
47655
47655
49144
46866
47277
46531
45362
45633
46081
47704
47474
47956
45780
43865
46552
41863
38363
40076
40586
40037
36356
38759
38380
37105
37677
35027
37661
35448
36888
39548
36217
34925
33617
38075
37835
33095
35763
38087
36833
35059
35464
35148
34899
37722
36476
32444
30356
31165
31469
30416
32343
33006
33671
35319
36542
38043
39865
40168
40659
41058
38073
41880
43105
41276
44599
42841
43054
42637
40406
42706
42241
43043
44638
43311
44916
45029
46074
49403
46794
45142
46305
47304
47847
47557
47461
47428
49965
52108
52284
51741
51934
52650
52526
51953
50147
49287
49746
50410
48804
47141
48262
48289
49286
48721
46967
48437
48358
48563
50281
50932
50937
50501
49173
49622
50833
48862
47093
46734
45997
44223
39856
37262
38761
38359
36616
36292
34513
33597
35846
34810
32614
32674
29527
27055
27730
28103
28900
27102
28361
29039
26164
26603
24414
23633
24860
25038
25080
25502
27270
28103
28226
27356
29097
32024
33975
33386
31440
35130
37193
36515
38420
39474
38767
39045
39994
40814
40162
39359
42885
44662
43609
44399
46862
48259
