Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft)
3/13/2011,6:00,-1.533,-,-1.89
3/13/2011,7:00,-1.013,-,-1.59
3/13/2011,8:00,-0.477,-,-0.54
3/13/2011,9:00,0.006,-,-0.53
3/13/2011,10:00,0.395,-,0.63
3/13/2011,11:00,0.686,-,0.56
3/13/2011,12:00,0.892,-,0.25
3/13/2011,13:00,1.035,-,0.79
3/13/2011,14:00,1.143,-,0.99
3/13/2011,15:00,1.258,-,1.53
3/13/2011,16:00,1.406,-,1.84
3/13/2011,17:00,1.571,-,1.47
3/13/2011,18:00,1.703,-,1.16
3/13/2011,19:00,1.748,-,1.59
3/13/2011,20:00,1.652,-,1.49
3/13/2011,21:00,1.372,-,0.98
3/13/2011,22:00,0.895,-,0.36
3/13/2011,23:00,0.256,-,0.13
3/14/2011,0:00,-0.469,-,-0.7
3/14/2011,1:00,-1.191,-,-1.08
3/14/2011,2:00,-1.813,-,-2
3/14/2011,3:00,-2.241,-,-2.56
3/14/2011,4:00,-2.408,-,-2.92
3/14/2011,5:00,-2.302,-,-2.74
3/14/2011,6:00,-1.971,-,-2.37
3/14/2011,7:00,-1.492,-,-1.58
3/14/2011,8:00,-0.944,-,-1.17
3/14/2011,9:00,-0.406,-,-0.2
3/14/2011,10:00,0.057,-,-0.11
3/14/2011,11:00,0.416,-,0.16
3/14/2011,12:00,0.676,-,0.5
3/14/2011,13:00,0.86,-,0.63
3/14/2011,14:00,0.994,-,0.95
3/14/2011,15:00,1.115,-,1.21
3/14/2011,16:00,1.262,-,1.3
3/14/2011,17:00,1.447,-,1.18
3/14/2011,18:00,1.639,-,1.53
3/14/2011,19:00,1.779,-,1.64
3/14/2011,20:00,1.808,-,1.57
3/14/2011,21:00,1.672,-,1.53
3/14/2011,22:00,1.333,-,1.27
3/14/2011,23:00,0.791,-,0.44
3/15/2011,0:00,0.094,-,0.02
3/15/2011,1:00,-0.669,-,-0.72
3/15/2011,2:00,-1.399,-,-1.69
3/15/2011,3:00,-1.994,-,-2.35
3/15/2011,4:00,-2.364,-,-2.75
3/15/2011,5:00,-2.454,-,-2.51
3/15/2011,6:00,-2.271,-,-2.39
3/15/2011,7:00,-1.88,-,-2.22
3/15/2011,8:00,-1.366,-,-1.53
3/15/2011,9:00,-0.814,-,-0.86
3/15/2011,10:00,-0.301,-,-0.59
3/15/2011,11:00,0.115,-,-0.03
3/15/2011,12:00,0.415,-,0.41
3/15/2011,13:00,0.617,-,0.74
3/15/2011,14:00,0.753,-,0.62
3/15/2011,15:00,0.86,-,0.86
3/15/2011,16:00,0.979,-,1.08
3/15/2011,17:00,1.146,-,1.03
3/15/2011,18:00,1.36,-,1.29
3/15/2011,19:00,1.576,-,1.7
3/15/2011,20:00,1.729,-,1.89
3/15/2011,21:00,1.756,-,1.92
3/15/2011,22:00,1.602,-,1.83
3/15/2011,23:00,1.235,-,1.33
